Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2010/10/20 0:00,TAL Education Group ,XRS,Credit Suisse/ Morgan Stanley,10,14,15,0.5,4,5,2,
2010/10/21 0:00,Bravo Brio Restaurant Group ,BBRG,Jefferies & Company/ Piper Jaffray/ Wells Fargo Securities,14,14.5,15.9,0.135714286,0.5,1.9,2,
2010/10/21 0:00,Vera Bradley ,VRA,Baird/ Piper Jaffray,16,23,24.85,0.553125,7,8.85,2,
2010/10/22 0:00,Aegerion Pharmaceuticals ,AEGR,Leerink Swann/ Lazard Capital Markets,9.5,10,10.8,0.136842105,0.5,1.3,1,
2010/10/26 0:00,Mecox Lane Limited ,MCOX,Credit Suisse/ UBS Investment Bank,11,17.5,17.26,0.569090909,6.5,6.26,3,
2010/10/27 0:00,Pacific Biosciences of California ,PACB,J.P.Morgan/ Morgan Stanley,16,16.5,16.44,0.0275,0.5,0.44,1,
2010/10/28 0:00,ExamWorks Group ,EXAM,"Goldman, Sachs & Co./ Credit Suisse",16,16.75,16.8,0.05,0.75,0.8,2,
2010/10/28 0:00,SeaCube Container Leasing ,BOX,J.P. Morgan/ Citi/ Deutsche Bank Securities/ Wells Fargo Securities,10,11,11,0.1,1,1,1,
2010/10/29 0:00,Le Gaga Holdings Limited ,GAGA,BofA Merrill Lynch/ UBS Investment Bank,9.5,9.06,11.26,0.185263158,-0.44,1.76,3,
2010/11/2 0:00,Xueda Education Group ,XUE,Goldman Sachs (Asia) L.L.C.,9.5,14.3,12.5,0.315789474,4.8,3,3,
2010/11/3 0:00,SinoTech Energy Limited ,CTE,Citi/ UBS Investment Bank/ Deutsche Bank Securities,8.5,8.5,6.86,-0.192941176,0,-1.64,2,Missed
2010/11/3 0:00,SodaStream International Ltd. ,SODA,J.P. Morgan/ Deutsche Bank Securities,20,24.75,24.12,0.206,4.75,4.12,2,
2010/11/4 0:00,Costamare ,CMRE,Morgan Stanley/ BofA Merrill Lynch,12,12.02,11.85,-0.0125,0.02,-0.15,1,
2010/11/5 0:00,Primo Water ,PRMW,Stifel Nicolaus Weisel,12,14.86,12.95,0.079166667,2.86,0.95,1,
2010/11/5 0:00,The Fresh Market ,TFM,BofA Merrill Lynch/J.P. Morgan/Goldman Sachs,22,34,32.11,0.459545455,12,10.11,3,
2010/11/10 0:00,Noah Holdings Limited ,NOAH,J.P. Morgan/ BofA Merrill Lynch,12,15,15.99,0.3325,3,3.99,3,
2010/11/10 0:00,RDA Microelectronics ,RDA,Morgan Stanley/ Credit Suisse,9,10.11,10.75,0.194444444,1.11,1.75,2,
2010/11/11 0:00,Complete Genomics ,GNOM,UBS Investment Bank/ Jefferies & Company,9,8.5,8.03,-0.107777778,-0.5,-0.97,1,
2010/11/11 0:00,Inph ,IPHI,Morgan Stanley.Deutsche Bank/Jefferies,12,15.13,15.3,0.275,3.13,3.3,3,
2010/11/17 0:00,Bitauto Holdings Limited ,BITA,Citi/ UBS Investment Bank,12,12,12.45,0.0375,0,0.45,3,Missed
2010/11/17 0:00,Booz Allen & Hamilton ,BAH,Morgan Stanley/ Barclays Capital/ BofA Merrill Lynch Credit Suisse,17,17.26,19.25,0.132352941,0.26,2.25,2,
2010/11/18 0:00,General Motors Company ,GM,Morgan Stanley/ J.P. Morgan/ BofA Merrill Lynch/ Citi,33,35,34.19,0.036060606,2,1.19,3,
2010/11/18 0:00,LPL investmens ,LPLA,Goldman Sachs/Morgan Stanley,30,33.05,32.15,0.071666667,3.05,2.15,2,
2010/11/19 0:00,Aeroflex Holdings ,ARX,"Goldman, Sachs/ Credit Suisse/ J.P. Morgan/ Morgan Stanley",13.5,12.67,12.67,-0.061481481,-0.83,-0.83,1,
2010/11/19 0:00,Lizhan Environmental ,LZEN,Maxim Group LLC,4,4,4.01,0.0025,0,0.01,1,
2010/11/23 0:00,China Xiniya Fashion Limited ,XNY,Cowen,11,11,9.95,-0.095454545,0,-1.05,1,Missed
2010/11/23 0:00,Zogenix ,ZGNX,Wells Fargo Securities/ Leerink Swann,4,5,3.98,-0.005,1,-0.02,1,
2010/11/24 0:00,Anacor Pharmaceuticals ,ANAC,Citi/ Deutsche Bank Securities,5,5,5.09,0.018,0,0.09,1,
2010/11/24 0:00,L&L Acquisition ,LLACQU,Morgan Joseph,10,10,10,0,0,0,1,
2010/11/24 0:00,SYSWIN ,SYSW,Morgan Stanley,7,7,6.2,-0.114285714,0,-0.8,1,
2010/12/2 0:00,FXCM ,FXCM,Credit Suisse/ J.P. Morgan/ Citi,14,15,14.85,0.060714286,1,0.85,1,Missed
2010/12/7 0:00,Targa Resources Investments ,TRGP,Barclays Capital,22,24.1,24.7,0.122727273,2.1,2.7,2,
2010/12/8 0:00,CTPartners Executive Search  ,CTP,William Blair & Company/ C.L. King & Associates,13,13,13,0,0,0,2,Missed
2010/12/8 0:00,E-Commerce China Dangdang ,DANG,Credit Suisse/ Morgan Stanley,16,24.5,29.91,0.869375,8.5,13.91,3,
2010/12/8 0:00,Youku.com ,YOKU,Goldman Sachs (Asia),12.8,27,27,1.109375,14.2,14.2,3,
